region,actor,flood_scenario,flood_probability_reference,vulnerability_label,predicted_high_vulnerability_share,fail_share,survive_share,dominant_stress_risk_label,median_margin,median_cost_revenue_ratio,median_stressed_margin,median_stressed_cost_revenue_ratio,priority_label,priority_rank,base_priority_sort_score,historical_flood_exposure_score,regional_exposure_priority_modifier,priority_sort_score,priority_reason,recommended_action
Karawang,Retail,High,0.5499976285304322,High Vulnerability,1.0,1.0,0.0,Already Failed,-3070000.0,2.023333333333333,-5006600.0,2.6910333333333334,Critical,5,1.0,1.0,1.1,1.1,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.02; HistFloodExp=1.00,"Prepare buffer stock, backup suppliers, and consumer price monitoring."
Karawang,Rice Miller,High,0.5499976285304322,High Vulnerability,0.7142857142857143,1.0,0.0,Already Failed,-5688835.470085483,1.0644027757500236,-35531851.43637228,1.4156556917475314,Critical,5,1.0,1.0,1.1,1.1,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.06; HistFloodExp=1.00,"Secure milling capacity, backup machine schedule, and protect grain-to-rice processing continuity."
Karawang,Wholesaler,High,0.5499976285304322,High Vulnerability,0.5714285714285714,0.7857142857142857,0.2142857142857142,Already Failed,-3500000.0,1.018028350515464,-67529500.0,1.353977706185567,Critical,5,0.9571428571428572,1.0,1.1,1.052857142857143,Flood=High; Vulnerability=High Vulnerability; FailShare=79%; Median C/R=1.02; HistFloodExp=1.00,Prepare buffer stock and route contingency for bulk distribution.
Garut,Middlemen,High,0.5499976285304322,High Vulnerability,0.9166666666666666,1.0,0.0,Already Failed,-6500000.0,1.3577741702741704,-25266182.013248023,1.7811942299536083,Critical,5,1.0,0.3949554339103519,1.0394955433910351,1.0394955433910351,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.36; HistFloodExp=0.39,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows."
Garut,Retail,High,0.5499976285304322,High Vulnerability,0.9130434782608696,1.0,0.0,Already Failed,-2600000.0,1.7428571428571429,-4448484.932756792,2.286364812687313,Critical,5,1.0,0.3949554339103519,1.0394955433910351,1.0394955433910351,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.74; HistFloodExp=0.39,"Prepare buffer stock, backup suppliers, and consumer price monitoring."
Subang,Retail,High,0.5499976285304322,High Vulnerability,0.9473684210526316,1.0,0.0,Already Failed,-2495000.0,1.7333333333333334,-4210084.197667087,2.2722689592647787,Critical,5,1.0,0.3641466525278,1.03641466525278,1.03641466525278,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.73; HistFloodExp=0.36,"Prepare buffer stock, backup suppliers, and consumer price monitoring."
Garut,Wholesaler,High,0.5499976285304322,High Vulnerability,0.72,0.92,0.08,Already Failed,-7000000.0,1.0795454545454546,-28328749.40416141,1.4162002612118691,Critical,5,0.9840000000000001,0.3949554339103519,1.0394955433910351,1.0228636146967787,Flood=High; Vulnerability=High Vulnerability; FailShare=92%; Median C/R=1.08; HistFloodExp=0.39,Prepare buffer stock and route contingency for bulk distribution.
Subang,Middlemen,High,0.5499976285304322,High Vulnerability,0.4285714285714285,0.8571428571428571,0.1428571428571428,Already Failed,14840000.0,0.9223993288590604,-21221854.300914228,1.209195786353716,Critical,5,0.9714285714285715,0.3641466525278,1.03641466525278,1.0068028176741293,Flood=High; Vulnerability=High Vulnerability; FailShare=86%; Median C/R=0.92; HistFloodExp=0.36,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows."
Indramayu,Retail,High,0.5499976285304322,High Vulnerability,1.0,1.0,0.0,Already Failed,-3051000.0,2.1145,-4703986.567263987,2.752398256687063,Critical,5,1.0,0.0559353146853146,1.0055935314685314,1.0055935314685314,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.11; HistFloodExp=0.06,"Prepare buffer stock, backup suppliers, and consumer price monitoring."
Tasikmalaya,Middlemen,High,0.5499976285304322,High Vulnerability,0.7931034482758621,1.0,0.0,Already Failed,-7685346.798251651,1.2960858585858586,-20914459.01639344,1.6851665838715018,Critical,5,1.0,0.0065573770491803,1.0006557377049181,1.0006557377049181,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.30; HistFloodExp=0.01,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows."
