region,actor,flood_scenario,flood_probability_reference,vulnerability_label,predicted_high_vulnerability_share,fail_share,survive_share,dominant_stress_risk_label,median_margin,median_cost_revenue_ratio,median_stressed_margin,median_stressed_cost_revenue_ratio,priority_label,priority_rank,base_priority_sort_score,regional_exposure_priority_modifier,priority_sort_score,priority_reason,recommended_action,region_key,vulnerability_rank,flood_rank,lhs_mean_failure_probability,lhs_median_failure_probability,lhs_p75_failure_probability,lhs_expected_stressed_margin,lhs_p05_stressed_margin,lhs_p50_stressed_margin,lhs_p95_stressed_margin,dominant_lhs_risk_label,historical_flood_exposure_score,historical_flood_exposure_level,lhs_component_vulnerability,lhs_component_flood,lhs_component_failure_probability,lhs_component_historical_exposure,lhs_component_actor_role,lhs_enhanced_priority_score,lhs_enhanced_priority_label
Karawang,Retail,High,0.5499976285304322,High Vulnerability,1.0,1.0,0.0,Already Failed,-3070000.0,2.023333333333333,-5006600.0,2.6910333333333334,Critical,5,1.0,1.1,1.1,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.02; HistFloodExp=1.00,"Prepare buffer stock, backup suppliers, and consumer price monitoring.",KARAWANG,3.0,3.0,1.0,1.0,1.0,-5335667.407084157,-6213455.118544109,-5559814.910844201,-4846001.153505484,Critical,1.0,High,0.35,0.25,0.25,0.1,0.05,1.0,Critical
Karawang,Rice Miller,High,0.5499976285304322,High Vulnerability,0.7142857142857143,1.0,0.0,Already Failed,-5688835.470085483,1.0644027757500236,-35531851.43637228,1.4156556917475314,Critical,5,1.0,1.1,1.1,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.06; HistFloodExp=1.00,"Secure milling capacity, backup machine schedule, and protect grain-to-rice processing continuity.",KARAWANG,3.0,3.0,1.0,1.0,1.0,-83143575.23361143,-67672812.58638532,-54124463.42885622,-40621352.77473688,Critical,1.0,High,0.35,0.25,0.25,0.1,0.0425,0.9924999999999999,Critical
Karawang,Wholesaler,High,0.5499976285304322,High Vulnerability,0.5714285714285714,0.7857142857142857,0.2142857142857142,Already Failed,-3500000.0,1.018028350515464,-67529500.0,1.353977706185567,Critical,5,0.9571428571428572,1.1,1.052857142857143,Flood=High; Vulnerability=High Vulnerability; FailShare=79%; Median C/R=1.02; HistFloodExp=1.00,Prepare buffer stock and route contingency for bulk distribution.,KARAWANG,3.0,3.0,0.8646428571428572,1.0,1.0,-83458724.88809367,-129283967.3661837,-103503674.96383914,-77264686.97565031,Critical,1.0,High,0.35,0.25,0.2161607142857143,0.1,0.04000000000000001,0.9561607142857143,Critical
Garut,Retail,High,0.5499976285304322,High Vulnerability,0.9130434782608696,1.0,0.0,Already Failed,-2600000.0,1.7428571428571429,-4448484.932756792,2.286364812687313,Critical,5,1.0,1.0394955433910351,1.0394955433910351,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.74; HistFloodExp=0.39,"Prepare buffer stock, backup suppliers, and consumer price monitoring.",GARUT,3.0,3.0,1.0,1.0,1.0,-4276974.12835195,-5486310.3051994825,-4858349.566586402,-4238321.870191811,Critical,0.3949554339103519,Medium,0.35,0.25,0.25,0.0394955433910352,0.05,0.9394955433910352,Critical
Subang,Retail,High,0.5499976285304322,High Vulnerability,0.9473684210526316,1.0,0.0,Already Failed,-2495000.0,1.7333333333333334,-4210084.197667087,2.2722689592647787,Critical,5,1.0,1.03641466525278,1.03641466525278,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.73; HistFloodExp=0.36,"Prepare buffer stock, backup suppliers, and consumer price monitoring.",SUBANG,3.0,3.0,1.0,1.0,1.0,-3923992.949120234,-5082222.997153336,-4608668.634135993,-4101501.184982781,Critical,0.3641466525278,Medium,0.35,0.25,0.25,0.03641466525278,0.05,0.93641466525278,Critical
Garut,Middlemen,High,0.5499976285304322,High Vulnerability,0.9166666666666666,1.0,0.0,Already Failed,-6500000.0,1.3577741702741704,-25266182.013248023,1.7811942299536083,Critical,5,1.0,1.0394955433910351,1.0394955433910351,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.36; HistFloodExp=0.39,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows.",GARUT,3.0,3.0,1.0,1.0,1.0,-28577945.396994486,-35129739.38566804,-31043950.95032497,-26620183.9435703,Critical,0.3949554339103519,Medium,0.35,0.25,0.25,0.0394955433910352,0.045000000000000005,0.9344955433910352,Critical
Karawang,Retail,Medium,0.4999999437061118,High Vulnerability,1.0,1.0,0.0,Already Failed,-3070000.0,2.023333333333333,-4041962.5,2.3571833333333334,Critical,5,0.8833333333333333,1.1,0.9716666666666668,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.02; HistFloodExp=1.00,"Prepare buffer stock, backup suppliers, and consumer price monitoring.",KARAWANG,3.0,2.0,1.0,1.0,1.0,-4133844.019278205,-4604048.449904126,-4267545.738388566,-3952988.073302901,Critical,1.0,High,0.35,0.16666666666666666,0.25,0.1,0.05,0.9166666666666666,Critical
Garut,Wholesaler,High,0.5499976285304322,High Vulnerability,0.72,0.92,0.08,Already Failed,-7000000.0,1.0795454545454546,-28328749.40416141,1.4162002612118691,Critical,5,0.984,1.0394955433910351,1.0228636146967789,Flood=High; Vulnerability=High Vulnerability; FailShare=92%; Median C/R=1.08; HistFloodExp=0.39,Prepare buffer stock and route contingency for bulk distribution.,GARUT,3.0,3.0,0.9237,1.0,1.0,-72878763.858494,-56122402.19139995,-44146176.50989363,-32507379.24986482,Critical,0.3949554339103519,Medium,0.35,0.25,0.230925,0.0394955433910352,0.04000000000000001,0.9104205433910352,Critical
Karawang,Rice Miller,Medium,0.4999999437061118,High Vulnerability,0.7142857142857143,1.0,0.0,Already Failed,-5688835.470085483,1.0644027757500236,-19670224.47649573,1.2400292337487775,Critical,5,0.8833333333333333,1.1,0.9716666666666668,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.06; HistFloodExp=1.00,"Secure milling capacity, backup machine schedule, and protect grain-to-rice processing continuity.",KARAWANG,3.0,2.0,1.0,1.0,1.0,-40680754.028715365,-33963536.62464976,-26980983.03504403,-21894264.12754632,Critical,1.0,High,0.35,0.16666666666666666,0.25,0.1,0.0425,0.9091666666666666,Critical
Subang,Middlemen,High,0.5499976285304322,High Vulnerability,0.4285714285714285,0.8571428571428571,0.1428571428571428,Already Failed,14840000.0,0.9223993288590604,-21221854.300914228,1.209195786353716,Critical,5,0.9714285714285716,1.03641466525278,1.0068028176741293,Flood=High; Vulnerability=High Vulnerability; FailShare=86%; Median C/R=0.92; HistFloodExp=0.36,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows.",SUBANG,3.0,3.0,0.9083333333333332,1.0,1.0,-46551727.154793546,-58019842.804932766,-45748749.14829471,-31720785.02678824,Critical,0.3641466525278,Medium,0.35,0.25,0.2270833333333333,0.03641466525278,0.045000000000000005,0.9084979985861134,Critical
